number a b length x1 f1 x2 f2
1 -2 3 100 0.5 1.08946 0.5 1.08946 
2 -2 0.5 50 -0.75 1.86268 -0.75 1.86268 
3 -0.75 0.5 50 -0.125 1.06035 -0.125 1.06035 
4 -0.125 0.5 50 0.1875 0.971638 0.1875 0.971638 
5 -0.125 0.1875 50 0.03125 0.990099 0.0312501 0.990099 
6 0.03125 0.1875 50 0.109375 0.974405 0.109375 0.974405 
7 0.109375 0.1875 50 0.148437 0.971407 0.148438 0.971407 
8 0.148437 0.1875 50.0001 0.167969 0.971119 0.167969 0.971119 
9 0.148437 0.167969 50.0001 0.158203 0.971162 0.158203 0.971162 
10 0.158203 0.167969 50.0003 0.163086 0.971115 0.163086 0.971115 
11 0.163086 0.167969 50.0005 0.165527 0.971111 0.165527 0.971111 
12 0.163086 0.165527 50.001 0.164307 0.971112 0.164307 0.971112 
13 0.164307 0.165527 50.002 0.164917 0.971111 0.164917 0.971111 
14 0.164917 0.165527 50.0041 0.165222 0.971111 0.165222 0.971111 
15 0.164917 0.165222 50.0082 0.16507 0.971111 0.16507 0.971111 
16 0.16507 0.165222 50.0164 0.165146 0.971111 0.165146 0.971111 
17 0.165146 0.165222 50.0327 0.165184 0.971111 0.165184 0.971111 
18 0.165146 0.165184 50.0655 0.165165 0.971111 0.165165 0.971111 
19 0.165165 0.165184 50.1307 0.165174 0.971111 0.165175 0.971111 
20 0.165165 0.165175 50.2608 0.16517 0.971111 0.16517 0.971111 
21 0.16517 0.165175 50.5188 0.165172 0.971111 0.165172 0.971111 
22 0.16517 0.165172 51.027 0.165171 0.971111 0.165171 0.971111 
23 0.16517 0.165171 52.0127 0.16517 0.971111 0.16517 0.971111 
