number a b length x1 fx1 x2 fx2
1 -2 3 100 -0.0901699 1.04019 1.09017 1.87127 
2 -2 1.09017 61.8034 -0.81966 2.00411 -0.0901699 1.04019 
3 -0.81966 1.09017 61.8034 -0.0901699 1.04019 0.36068 1.0115 
4 -0.0901699 1.09017 61.8034 0.36068 1.0115 0.63932 1.20824 
5 -0.0901699 0.63932 61.8034 0.188471 0.971685 0.36068 1.0115 
6 -0.0901699 0.36068 61.8034 0.0820393 0.978425 0.188471 0.971685 
7 0.0820393 0.36068 61.8034 0.188471 0.971685 0.254249 0.9795 
8 0.0820393 0.254249 61.8034 0.147817 0.971429 0.188471 0.971685 
9 0.0820393 0.188471 61.8034 0.122692 0.97302 0.147817 0.971429 
10 0.122692 0.188471 61.8034 0.147817 0.971429 0.163346 0.971114 
11 0.147817 0.188471 61.8034 0.163346 0.971114 0.172942 0.971175 
12 0.147817 0.172942 61.8034 0.157414 0.971174 0.163346 0.971114 
13 0.157414 0.172942 61.8034 0.163346 0.971114 0.167011 0.971114 
14 0.157414 0.167011 61.8034 0.16108 0.971129 0.163346 0.971114 
15 0.16108 0.167011 61.8034 0.163346 0.971114 0.164746 0.971111 
16 0.163346 0.167011 61.8034 0.164746 0.971111 0.165611 0.971111 
17 0.163346 0.165611 61.8034 0.164211 0.971112 0.164746 0.971111 
18 0.164211 0.165611 61.8034 0.164746 0.971111 0.165076 0.971111 
19 0.164746 0.165611 61.8034 0.165076 0.971111 0.16528 0.971111 
20 0.164746 0.16528 61.8034 0.16495 0.971111 0.165076 0.971111 
21 0.16495 0.16528 61.8034 0.165076 0.971111 0.165154 0.971111 
22 0.165076 0.16528 61.8034 0.165154 0.971111 0.165202 0.971111 
23 0.165076 0.165202 61.8034 0.165124 0.971111 0.165154 0.971111 
24 0.165124 0.165202 61.8034 0.165154 0.971111 0.165173 0.971111 
25 0.165154 0.165202 61.8034 0.165173 0.971111 0.165184 0.971111 
26 0.165154 0.165184 61.8034 0.165166 0.971111 0.165173 0.971111 
27 0.165166 0.165184 61.8034 0.165173 0.971111 0.165177 0.971111 
28 0.165166 0.165177 61.8034 0.16517 0.971111 0.165173 0.971111 
29 0.165166 0.165173 61.8034 0.165168 0.971111 0.16517 0.971111 
30 0.165168 0.165173 61.8034 0.16517 0.971111 0.165171 0.971111 
31 0.165168 0.165171 61.8034 0.165169 0.971111 0.16517 0.971111 
32 0.165169 0.165171 61.8034 0.16517 0.971111 0.16517 0.971111 
