number a b length x1 fx1 x2 fx2 x3 fx3 
1 -2 3 100 -2 6.01375 2.20094 5.30699 3 9.34994 
2 -2 2.20094 84.0188 -2 6.01375 0.180922 0.971373 2.20094 5.30699 
3 -2 0.180922 51.9151 -2 6.01375 0.179732 0.971335 0.180922 0.971373 
4 -2 0.179732 99.9454 -2 6.01375 0.16542 0.971111 0.179732 0.971335 
5 -2 0.16542 99.3434 -2 6.01375 0.165293 0.971111 0.16542 0.971111 
6 -2 0.165293 99.9941 -2 6.01375 0.165173 0.971111 0.165293 0.971111 
7 -2 0.165173 99.9945 -2 6.01375 0.165171 0.971111 0.165173 0.971111 
8 -2 0.165171 99.9999 -2 6.01375 0.16517 0.971111 0.165171 0.971111 
9 -2 0.16517 100 -2 6.01375 0.16517 0.971111 0.16517 0.971111 
10 -2 0.16517 100 -2 6.01375 0.16517 0.971111 0.16517 0.971111 
